Participant Code,Session Code,Condition Code,Hand Dominance,Pointing Device,Device Experience,Amplitude,Width,Number of Targets,Task Index,Click Number,Completion Time (ms),Source X,Source Y,Target X,Target Y,Click X,Click Y,Source-Target Distance,dx,Incorrect
shama,S1,C3,Non-Dominant,Mouse,Intermediate,400,50,15,0,1,1308.2000000476837,968,347.5,572.3704798532389,305.9176618364481,628,307,397.80875814730933,-55.437910959756444,0
shama,S1,C3,Non-Dominant,Mouse,Intermediate,400,50,15,0,2,882.7999999523163,572.3704798532389,305.9176618364481,950.7090915285202,428.84732861516005,899,403,397.80875814730933,-57.16553225117997,0
shama,S1,C3,Non-Dominant,Mouse,Intermediate,400,50,15,0,3,1052.7000000476837,950.7090915285202,428.84732861516005,606.1966011250105,229.9429495415054,645,252,397.80875814730933,-44.63325440816874,0
shama,S1,C3,Non-Dominant,Mouse,Intermediate,400,50,15,0,4,1369.0999999046326,606.1966011250105,229.9429495415054,901.8261212717716,496.12896509547886,867,452,397.8087581473093,-55.40889298689191,0
shama,S1,C3,Non-Dominant,Mouse,Intermediate,400,50,15,0,5,1270.4000000953674,901.8261212717716,496.12896509547886,667.9999999999999,174.29491924311233,684,211,397.8087581473094,-39.09959814890662,0
shama,S1,C3,Non-Dominant,Mouse,Intermediate,400,50,15,0,6,2366.9000000953674,667.9999999999999,174.29491924311233,829.8033988749895,537.7113032590307,818,503,397.8087581473094,-36.51122825644026,0
shama,S1,C3,Non-Dominant,Mouse,Intermediate,400,50,15,0,7,2132.699999809265,829.8033988749895,537.7113032590307,747.0943073464693,148.59562092634533,735,197,397.8087581473094,-44.83207936623091,0
shama,S1,C3,Non-Dominant,Mouse,Intermediate,400,50,15,0,8,2075,747.0943073464693,148.59562092634533,747.0943073464692,546.4043790736547,756,503,397.8087581473094,-43.4043790736547,0
shama,S1,C3,Non-Dominant,Mouse,Intermediate,400,50,15,0,9,1549.1000001430511,747.0943073464692,546.4043790736547,829.8033988749894,157.28869674096927,807,210,397.8087581473094,-56.30052803086378,0
shama,S1,C3,Non-Dominant,Mouse,Intermediate,400,50,15,0,10,1897.5,829.8033988749894,157.28869674096927,668,520.7050807568878,690,475,397.8087581473094,-50.701875064310684,0
shama,S1,C3,Non-Dominant,Mouse,Intermediate,400,50,15,0,11,1407.8999998569489,668,520.7050807568878,901.8261212717716,198.87103490452108,877,233,397.80875814730945,-42.20334071784365,0
shama,S1,C3,Non-Dominant,Mouse,Intermediate,400,50,15,0,12,1494.1000001430511,901.8261212717716,198.87103490452108,606.1966011250106,465.05705045849464,637,450,397.8087581473093,-32.96651978433293,0
shama,S1,C3,Non-Dominant,Mouse,Intermediate,400,50,15,0,13,1965.2000000476837,606.1966011250106,465.05705045849464,950.7090915285202,266.15267138484,904,273,397.8087581473092,-43.87492415897098,0
shama,S1,C3,Non-Dominant,Mouse,Intermediate,400,50,15,0,14,2457.699999809265,950.7090915285202,266.15267138484,572.3704798532389,389.08233816355187,632,379,397.8087581473093,-59.82665753470291,0
shama,S1,C3,Non-Dominant,Mouse,Intermediate,400,50,15,0,15,2265.2000000476837,572.3704798532389,389.08233816355187,968,347.5,901,343,397.80875814730933,-66.16258890496985,0
