Participant Code,Session Code,Condition Code,Hand Dominance,Pointing Device,Device Experience,Amplitude,Width,Number of Targets,Task Index,Click Number,Completion Time (ms),Source X,Source Y,Target X,Target Y,Click X,Click Y,Source-Target Distance,dx,Incorrect
Kishore,S0,C2,Non-Dominant,Touchpad,Intermediate,400,50,15,0,1,1353.0999999642372,968,365,572.3704798532389,323.4176618364481,605,326,397.80875814730933,-32.720700061187685,0
Kishore,S0,C2,Non-Dominant,Touchpad,Intermediate,400,50,15,0,2,1497.199999988079,572.3704798532389,323.4176618364481,950.7090915285202,446.34732861516005,918,420,397.80875814730933,-39.24996693875951,0
Kishore,S0,C2,Non-Dominant,Touchpad,Intermediate,400,50,15,0,3,1589.5,950.7090915285202,446.34732861516005,606.1966011250105,247.4429495415054,632,257,397.80875814730933,-27.124924158970984,0
Kishore,S0,C2,Non-Dominant,Touchpad,Intermediate,400,50,15,0,4,1830.7000000476837,606.1966011250105,247.4429495415054,901.8261212717716,513.6289650954789,869,473,397.8087581473093,-51.580646213681106,0
Kishore,S0,C2,Non-Dominant,Touchpad,Intermediate,400,50,15,0,5,1769.699999988079,901.8261212717716,513.6289650954789,667.9999999999999,191.79491924311233,689,232,397.8087581473094,-44.87008389068133,0
Kishore,S0,C2,Non-Dominant,Touchpad,Intermediate,400,50,15,0,6,1762.300000011921,667.9999999999999,191.79491924311233,829.8033988749895,555.2113032590307,815,513,397.8087581473094,-44.58302911798714,0
Kishore,S0,C2,Non-Dominant,Touchpad,Intermediate,400,50,15,0,7,1448.5999999642372,829.8033988749895,555.2113032590307,747.0943073464693,166.09562092634533,751,202,397.8087581473094,-35.93182141014245,0
Kishore,S0,C2,Non-Dominant,Touchpad,Intermediate,400,50,15,0,8,1577.800000011921,747.0943073464693,166.09562092634533,747.0943073464692,563.9043790736547,745,517,397.8087581473094,-46.904379073654674,0
Kishore,S0,C2,Non-Dominant,Touchpad,Intermediate,400,50,15,0,9,1739.5,747.0943073464692,563.9043790736547,829.8033988749894,174.78869674096927,813,212,397.8087581473094,-39.89177007458324,0
Kishore,S0,C2,Non-Dominant,Touchpad,Intermediate,400,50,15,0,10,1876.300000011921,829.8033988749894,174.78869674096927,668,538.2050807568878,680,499,397.8087581473094,-40.69646315887575,0
Kishore,S0,C2,Non-Dominant,Touchpad,Intermediate,400,50,15,0,11,1717.300000011921,668,538.2050807568878,901.8261212717716,216.37103490452108,865,235,397.80875814730945,-36.71700033254165,0
Kishore,S0,C2,Non-Dominant,Touchpad,Intermediate,400,50,15,0,12,1670.7999999523163,901.8261212717716,216.37103490452108,606.1966011250106,482.55705045849464,636,459,397.8087581473093,-37.91098511290583,0
Kishore,S0,C2,Non-Dominant,Touchpad,Intermediate,400,50,15,0,13,1516.800000011921,606.1966011250106,482.55705045849464,950.7090915285202,283.65267138484,920,295,397.8087581473092,-32.268517698419906,0
Kishore,S0,C2,Non-Dominant,Touchpad,Intermediate,400,50,15,0,14,1856.1000000238419,950.7090915285202,283.65267138484,572.3704798532389,406.58233816355187,606,399,397.8087581473093,-34.32664562509157,0
Kishore,S0,C2,Non-Dominant,Touchpad,Intermediate,400,50,15,0,15,1487.800000011921,572.3704798532389,406.58233816355187,968,365,920,370,397.80875814730933,-48.25969329401538,0
