Participant Code,Session Code,Condition Code,Hand Dominance,Pointing Device,Device Experience,Amplitude,Width,Number of Targets,Task Index,Click Number,Completion Time (ms),Source X,Source Y,Target X,Target Y,Click X,Click Y,Source-Target Distance,dx,Incorrect
varun,S0,C3,Non-Dominant,Touchpad,Intermediate,400,50,15,0,1,1089.7000000476837,968,347.5,572.3704798532389,305.9176618364481,637,305,397.80875814730933,-64.17955109153561,1
varun,S0,C3,Non-Dominant,Touchpad,Intermediate,400,50,15,0,2,1493,572.3704798532389,305.9176618364481,950.7090915285202,428.84732861516005,896,403,397.80875814730933,-60.01870180006543,0
varun,S0,C3,Non-Dominant,Touchpad,Intermediate,400,50,15,0,3,1181.5,950.7090915285202,428.84732861516005,606.1966011250105,229.9429495415054,636,251,397.80875814730933,-36.33902577410875,0
varun,S0,C3,Non-Dominant,Touchpad,Intermediate,400,50,15,0,4,1443.9000000953674,606.1966011250105,229.9429495415054,901.8261212717716,496.12896509547886,856,446,397.8087581473093,-67.59826970529636,0
varun,S0,C3,Non-Dominant,Touchpad,Intermediate,400,50,15,0,5,1505.5999999046326,901.8261212717716,496.12896509547886,667.9999999999999,174.29491924311233,700,220,397.8087581473094,-55.78531513496069,0
varun,S0,C3,Non-Dominant,Touchpad,Intermediate,400,50,15,0,6,1775.5999999046326,667.9999999999999,174.29491924311233,829.8033988749895,537.7113032590307,800,476,397.8087581473094,-68.49821518815487,1
varun,S0,C3,Non-Dominant,Touchpad,Intermediate,400,50,15,0,7,2367.100000143051,829.8033988749895,537.7113032590307,747.0943073464693,148.59562092634533,748,494,397.8087581473094,-338.044768764802,1
varun,S0,C3,Non-Dominant,Touchpad,Intermediate,400,50,15,0,8,490,747.0943073464693,148.59562092634533,747.0943073464692,546.4043790736547,748,494,397.8087581473094,-52.404379073654674,0
varun,S0,C3,Non-Dominant,Touchpad,Intermediate,400,50,15,0,9,1365.5999999046326,747.0943073464692,546.4043790736547,829.8033988749894,157.28869674096927,814,207,397.8087581473094,-51.91070339293804,0
varun,S0,C3,Non-Dominant,Touchpad,Intermediate,400,50,15,0,10,2269,829.8033988749894,157.28869674096927,668,520.7050807568878,871,243,397.8087581473094,-336.2637536341139,1
varun,S0,C3,Non-Dominant,Touchpad,Intermediate,400,50,15,0,11,1460.4000000953674,668,520.7050807568878,901.8261212717716,198.87103490452108,640,422,397.80875814730945,-334.4126574480249,1
varun,S0,C3,Non-Dominant,Touchpad,Intermediate,400,50,15,0,12,450.39999985694885,901.8261212717716,198.87103490452108,606.1966011250106,465.05705045849464,640,422,397.8087581473093,-53.93161123881317,0
varun,S0,C3,Non-Dominant,Touchpad,Intermediate,400,50,15,0,13,1857.9000000953674,606.1966011250106,465.05705045849464,950.7090915285202,266.15267138484,623,386,397.8087581473092,-343.7280626223982,1
varun,S0,C3,Non-Dominant,Touchpad,Intermediate,400,50,15,0,14,441.7999999523163,950.7090915285202,266.15267138484,572.3704798532389,389.08233816355187,623,386,397.8087581473093,-49.10402992742187,0
varun,S0,C3,Non-Dominant,Touchpad,Intermediate,400,50,15,0,15,2149.2999999523163,572.3704798532389,389.08233816355187,968,347.5,640,319,397.80875814730933,-323.22412047766556,1
