Participant Code,Session Code,Condition Code,Hand Dominance,Pointing Device,Device Experience,Amplitude,Width,Number of Targets,Task Index,Click Number,Completion Time (ms),Source X,Source Y,Target X,Target Y,Click X,Click Y,Source-Target Distance,dx,Incorrect
P4,S0,nondom,Non-Dominant,Mouse,Intermediate,400,50,15,0,1,1819,1053,454,657.3704798532389,412.4176618364481,666,410,397.80875814730933,-8.329532256010754,0
P4,S0,nondom,Non-Dominant,Mouse,Intermediate,400,50,15,0,2,1181,657.3704798532389,412.4176618364481,1035.7090915285203,535.34732861516,1028.6666667461395,524.3333333730698,397.80875814730945,-10.101255685572363,0
P4,S0,nondom,Non-Dominant,Mouse,Intermediate,400,50,15,0,3,1416,1035.7090915285203,535.34732861516,691.1966011250105,336.4429495415054,690,344.6666666865349,397.8087581473094,-3.075571600058589,0
P4,S0,nondom,Non-Dominant,Mouse,Intermediate,400,50,15,0,4,1251.0000000000073,691.1966011250105,336.4429495415054,986.8261212717716,602.6289650954789,976,591.6666666865349,397.8087581473093,-15.380585384571186,0
P4,S0,nondom,Non-Dominant,Mouse,Intermediate,400,50,15,0,5,866,986.8261212717716,602.6289650954789,752.9999999999999,280.7949192431123,761,298,397.8087581473094,-18.62148474025533,0
P4,S0,nondom,Non-Dominant,Mouse,Intermediate,400,50,15,0,6,1165.9999999999927,752.9999999999999,280.7949192431123,914.8033988749895,644.2113032590307,919,636,397.8087581473094,-5.794487339698521,0
P4,S0,nondom,Non-Dominant,Mouse,Intermediate,400,50,15,0,7,1002,914.8033988749895,644.2113032590307,832.0943073464693,255.09562092634533,844,292,397.8087581473094,-38.57326253741833,0
P4,S0,nondom,Non-Dominant,Mouse,Intermediate,400,50,15,0,8,1832.0000000000073,832.0943073464693,255.09562092634533,832.0943073464692,652.9043790736547,823,621,397.8087581473094,-31.90437907365468,0
P4,S0,nondom,Non-Dominant,Mouse,Intermediate,400,50,15,0,9,1315.9999999999927,832.0943073464692,652.9043790736547,914.8033988749894,263.78869674096927,909,292,397.8087581473094,-28.801413068983617,0
P4,S0,nondom,Non-Dominant,Mouse,Intermediate,400,50,15,0,10,1203,914.8033988749894,263.78869674096927,753,627.2050807568878,778,602,397.8087581473094,-33.19440311186478,0
P4,S0,nondom,Non-Dominant,Mouse,Intermediate,400,50,15,0,11,5014,753,627.2050807568878,986.8261212717716,305.3710349045211,960,313,397.80875814730945,-21.939960871492495,0
P4,S0,nondom,Non-Dominant,Mouse,Intermediate,400,50,15,0,12,950,986.8261212717716,305.3710349045211,691.1966011250106,571.5570504584946,703,564,397.8087581473093,-13.82828855257105,0
P4,S0,nondom,Non-Dominant,Mouse,Intermediate,400,50,15,0,13,1566,691.1966011250106,571.5570504584946,1035.7090915285203,372.65267138484,1010,376,397.8087581473093,-23.93839067949779,0
P4,S0,nondom,Non-Dominant,Mouse,Intermediate,400,50,15,0,14,1268.0000000000073,1035.7090915285203,372.65267138484,657.3704798532389,495.58233816355187,672,486,397.8087581473094,-16.87460580423353,0
P4,S0,nondom,Non-Dominant,Mouse,Intermediate,400,50,15,0,15,2049.9999999999927,657.3704798532389,495.58233816355187,1053,454,1028,453,397.80875814730933,-24.758518920939174,0
