Participant Code,Session Code,Condition Code,Hand Dominance,Pointing Device,Device Experience,Amplitude,Width,Number of Targets,Task Index,Click Number,Completion Time (ms),Source X,Source Y,Target X,Target Y,Click X,Click Y,Source-Target Distance,dx,Incorrect
varun,S2,C3,Non-Dominant,Touchpad,Intermediate,400,50,15,0,1,1312.8999998569489,968,347.5,572.3704798532389,305.9176618364481,618,317,397.80875814730933,-46.537976638750266,0
varun,S2,C3,Non-Dominant,Touchpad,Intermediate,400,50,15,0,2,1258,572.3704798532389,305.9176618364481,950.7090915285202,428.84732861516005,917,403,397.80875814730933,-40.046514957867174,0
varun,S2,C3,Non-Dominant,Touchpad,Intermediate,400,50,15,0,3,1713.1000001430511,950.7090915285202,428.84732861516005,606.1966011250105,229.9429495415054,660,266,397.80875814730933,-64.62363546493528,0
varun,S2,C3,Non-Dominant,Touchpad,Intermediate,400,50,15,0,4,1965.5999999046326,606.1966011250105,229.9429495415054,901.8261212717716,496.12896509547886,864,444,397.8087581473093,-62.99137231419493,0
varun,S2,C3,Non-Dominant,Touchpad,Intermediate,400,50,15,0,5,1303.7000000476837,901.8261212717716,496.12896509547886,667.9999999999999,174.29491924311233,687,211,397.8087581473094,-40.86295390578403,0
varun,S2,C3,Non-Dominant,Touchpad,Intermediate,400,50,15,0,6,2403.0999999046326,667.9999999999999,174.29491924311233,829.8033988749895,537.7113032590307,754,199,397.8087581473094,-340.2601925366421,1
varun,S2,C3,Non-Dominant,Touchpad,Intermediate,400,50,15,0,7,503.7000000476837,829.8033988749895,537.7113032590307,747.0943073464693,148.59562092634533,754,199,397.8087581473094,-50.738696693235916,0
varun,S2,C3,Non-Dominant,Touchpad,Intermediate,400,50,15,0,8,1523.7999999523163,747.0943073464693,148.59562092634533,747.0943073464692,546.4043790736547,747,503,397.8087581473094,-43.4043790736547,0
varun,S2,C3,Non-Dominant,Touchpad,Intermediate,400,50,15,0,9,1825.4000000953674,747.0943073464692,546.4043790736547,829.8033988749894,157.28869674096927,823,186,397.8087581473094,-29.498398560168326,1
varun,S2,C3,Non-Dominant,Touchpad,Intermediate,400,50,15,0,10,1224.5,829.8033988749894,157.28869674096927,668,520.7050807568878,690,467,397.8087581473094,-58.0102387254515,0
varun,S2,C3,Non-Dominant,Touchpad,Intermediate,400,50,15,0,11,1629.2000000476837,668,520.7050807568878,901.8261212717716,198.87103490452108,863,231,397.80875814730945,-48.814300261188365,0
varun,S2,C3,Non-Dominant,Touchpad,Intermediate,400,50,15,0,12,1600.2000000476837,901.8261212717716,198.87103490452108,606.1966011250106,465.05705045849464,644,429,397.8087581473093,-52.22027629621074,0
varun,S2,C3,Non-Dominant,Touchpad,Intermediate,400,50,15,0,13,1234.2999999523163,606.1966011250106,465.05705045849464,950.7090915285202,266.15267138484,898,283,397.8087581473092,-54.07107658167758,0
varun,S2,C3,Non-Dominant,Touchpad,Intermediate,400,50,15,0,14,1290.7999999523163,950.7090915285202,266.15267138484,572.3704798532389,389.08233816355187,616,372,397.8087581473093,-46.77287223460507,0
varun,S2,C3,Non-Dominant,Touchpad,Intermediate,400,50,15,0,15,2131.5,572.3704798532389,389.08233816355187,968,347.5,617,315,397.80875814730933,-345.68001021806526,1
