Participant Code,Session Code,Condition Code,Hand Dominance,Pointing Device,Device Experience,Amplitude,Width,Number of Targets,Task Index,Click Number,Completion Time (ms),Source X,Source Y,Target X,Target Y,Click X,Click Y,Source-Target Distance,dx,Incorrect
shama,S2,C3,Non-Dominant,Mouse,Intermediate,400,50,15,0,1,2447.300000190735,968,347.5,572.3704798532389,305.9176618364481,605,315,397.80875814730933,-33.40013507242738,0
shama,S2,C3,Non-Dominant,Mouse,Intermediate,400,50,15,0,2,1623.0999999046326,572.3704798532389,305.9176618364481,950.7090915285202,428.84732861516005,912,402,397.80875814730933,-45.1108145337179,0
shama,S2,C3,Non-Dominant,Mouse,Intermediate,400,50,15,0,3,1422.5999999046326,950.7090915285202,428.84732861516005,606.1966011250105,229.9429495415054,634,251,397.80875814730933,-34.606974966539916,0
shama,S2,C3,Non-Dominant,Mouse,Intermediate,400,50,15,0,4,1613,606.1966011250105,229.9429495415054,901.8261212717716,496.12896509547886,873,465,397.8087581473093,-42.25132615136237,0
shama,S2,C3,Non-Dominant,Mouse,Intermediate,400,50,15,0,5,1355.5,901.8261212717716,496.12896509547886,667.9999999999999,174.29491924311233,684,210,397.8087581473094,-38.29058115453167,0
shama,S2,C3,Non-Dominant,Mouse,Intermediate,400,50,15,0,6,2178.2000000476837,667.9999999999999,174.29491924311233,829.8033988749895,537.7113032590307,831,495,397.8087581473094,-38.532015557595614,0
shama,S2,C3,Non-Dominant,Mouse,Intermediate,400,50,15,0,7,1731.6000001430511,829.8033988749895,537.7113032590307,747.0943073464693,148.59562092634533,751,191,397.8087581473094,-42.28978081491219,0
shama,S2,C3,Non-Dominant,Mouse,Intermediate,400,50,15,0,8,1855,747.0943073464693,148.59562092634533,747.0943073464692,546.4043790736547,766,496,397.8087581473094,-50.40437907365468,0
shama,S2,C3,Non-Dominant,Mouse,Intermediate,400,50,15,0,9,1355.3999998569489,747.0943073464692,546.4043790736547,829.8033988749894,157.28869674096927,800,201,397.8087581473094,-48.952581459983826,0
shama,S2,C3,Non-Dominant,Mouse,Intermediate,400,50,15,0,10,1226.7999999523163,829.8033988749894,157.28869674096927,668,520.7050807568878,688,482,397.8087581473094,-43.4935835746609,0
shama,S2,C3,Non-Dominant,Mouse,Intermediate,400,50,15,0,11,1536.9000000953674,668,520.7050807568878,901.8261212717716,198.87103490452108,857,235,397.80875814730945,-55.577079752443005,0
shama,S2,C3,Non-Dominant,Mouse,Intermediate,400,50,15,0,12,1417.5,901.8261212717716,198.87103490452108,606.1966011250106,465.05705045849464,638,419,397.8087581473093,-54.45271340693494,1
shama,S2,C3,Non-Dominant,Mouse,Intermediate,400,50,15,0,13,2035.9000000953674,606.1966011250106,465.05705045849464,950.7090915285202,266.15267138484,886,290,397.8087581473092,-67.96338142709087,1
shama,S2,C3,Non-Dominant,Mouse,Intermediate,400,50,15,0,14,1885,950.7090915285202,266.15267138484,572.3704798532389,389.08233816355187,635,387,397.8087581473093,-60.207691128588806,0
shama,S2,C3,Non-Dominant,Mouse,Intermediate,400,50,15,0,15,1727.5,572.3704798532389,389.08233816355187,968,347.5,909,339,397.80875814730933,-57.78829988895307,0
