Participant Code,Session Code,Condition Code,Hand Dominance,Pointing Device,Device Experience,Amplitude,Width,Number of Targets,Task Index,Click Number,Completion Time (ms),Source X,Source Y,Target X,Target Y,Click X,Click Y,Source-Target Distance,dx,Incorrect
P4,S0,nondom,Non-Dominant,Touchpad,Intermediate,400,50,15,0,1,961,808,345.5,412.37047985323886,303.9176618364481,425,302.5621387283237,397.80875814730933,-12.41864356653266,0
P4,S0,nondom,Non-Dominant,Touchpad,Intermediate,400,50,15,0,2,992,412.37047985323886,303.9176618364481,790.7090915285202,426.84732861516005,776,412.4031791907514,397.80875814730933,-18.452664988414337,0
P4,S0,nondom,Non-Dominant,Touchpad,Intermediate,400,50,15,0,3,986,790.7090915285202,426.84732861516005,446.1966011250105,227.9429495415054,467,255.6300578034682,397.80875814730933,-31.859826041782938,0
P4,S0,nondom,Non-Dominant,Touchpad,Intermediate,400,50,15,0,4,1310,446.1966011250105,227.9429495415054,741.8261212717716,494.12896509547886,716,486.29624277456645,397.8087581473093,-24.433662621301405,0
P4,S0,nondom,Non-Dominant,Touchpad,Intermediate,400,50,15,0,5,1629,741.8261212717716,494.12896509547886,507.9999999999999,172.29491924311233,520,197.71387283236993,397.8087581473094,-27.617788460447212,0
P4,S0,nondom,Non-Dominant,Touchpad,Intermediate,400,50,15,0,6,1302,507.9999999999999,172.29491924311233,669.8033988749895,535.7113032590307,663,501.27456647398844,397.8087581473094,-34.22671608592819,0
P4,S0,nondom,Non-Dominant,Touchpad,Intermediate,400,50,15,0,7,1361,669.8033988749895,535.7113032590307,587.0943073464693,146.59562092634533,598,159.76878612716763,397.8087581473094,-15.152720934388826,0
P4,S0,nondom,Non-Dominant,Touchpad,Intermediate,400,50,15,0,8,1460.0000000000036,587.0943073464693,146.59562092634533,587.0943073464692,544.4043790736547,594,522.2442196531791,397.8087581473094,-22.160159420475573,0
P4,S0,nondom,Non-Dominant,Touchpad,Intermediate,400,50,15,0,9,1094.9999999999964,587.0943073464692,544.4043790736547,669.8033988749894,155.28869674096927,652,181.73699421965318,397.8087581473094,-29.57187348467067,0
P4,S0,nondom,Non-Dominant,Touchpad,Intermediate,400,50,15,0,10,1002.9999999999964,669.8033988749894,155.28869674096927,508,518.7050807568878,529,509.2630057803468,397.8087581473094,-17.167234210131706,0
P4,S0,nondom,Non-Dominant,Touchpad,Intermediate,400,50,15,0,11,1271.0000000000036,508,518.7050807568878,741.8261212717716,196.87103490452108,720,203.7052023121387,397.80875814730945,-18.358029773460387,0
P4,S0,nondom,Non-Dominant,Touchpad,Intermediate,400,50,15,0,12,1016.0000000000073,741.8261212717716,196.87103490452108,446.19660112501055,463.05705045849464,478,443.35838150289015,397.8087581473094,-36.81551360926805,0
P4,S0,nondom,Non-Dominant,Touchpad,Intermediate,400,50,15,0,13,1275.9999999999927,446.19660112501055,463.05705045849464,790.7090915285202,264.15267138484,783,275.60115606936415,397.8087581473093,-12.40051144605992,0
P4,S0,nondom,Non-Dominant,Touchpad,Intermediate,400,50,15,0,14,1196,790.7090915285202,264.15267138484,412.37047985323886,387.08233816355187,436,368.4667630057803,397.8087581473093,-28.225538196320244,0
P4,S0,nondom,Non-Dominant,Touchpad,Intermediate,400,50,15,0,15,1055,412.37047985323886,387.08233816355187,808,345.5,774,347.49710982658956,397.80875814730933,-34.022499263671435,0
