Participant Code,Session Code,Condition Code,Hand Dominance,Pointing Device,Device Experience,Amplitude,Width,Number of Targets,Task Index,Click Number,Completion Time (ms),Source X,Source Y,Target X,Target Y,Click X,Click Y,Source-Target Distance,dx,Incorrect
shama,S2,C1,Non-Dominant,Touchpad,Intermediate,400,50,15,0,1,1779.5,968,347.5,572.3704798532389,305.9176618364481,607,308,397.80875814730933,-34.65747962029035,0
shama,S2,C1,Non-Dominant,Touchpad,Intermediate,400,50,15,0,2,1584.0999999046326,572.3704798532389,305.9176618364481,950.7090915285202,428.84732861516005,900,398,397.80875814730933,-57.75956070675955,0
shama,S2,C1,Non-Dominant,Touchpad,Intermediate,400,50,15,0,3,1358.9000000953674,950.7090915285202,428.84732861516005,606.1966011250105,229.9429495415054,643,256,397.80875814730933,-44.90120360059985,0
shama,S2,C1,Non-Dominant,Touchpad,Intermediate,400,50,15,0,4,1306.7999999523163,606.1966011250105,229.9429495415054,901.8261212717716,496.12896509547886,855,457,397.8087581473093,-60.980977860826336,0
shama,S2,C1,Non-Dominant,Touchpad,Intermediate,400,50,15,0,5,1354.2000000476837,901.8261212717716,496.12896509547886,667.9999999999999,174.29491924311233,688,228,397.8087581473094,-55.20402806245065,0
shama,S2,C1,Non-Dominant,Touchpad,Intermediate,400,50,15,0,6,1465.2999999523163,667.9999999999999,174.29491924311233,829.8033988749895,537.7113032590307,803,481,397.8087581473094,-62.71027797071445,0
shama,S2,C1,Non-Dominant,Touchpad,Intermediate,400,50,15,0,7,1438.3999998569489,829.8033988749895,537.7113032590307,747.0943073464693,148.59562092634533,757,200,397.8087581473094,-52.340579366422986,0
shama,S2,C1,Non-Dominant,Touchpad,Intermediate,400,50,15,0,8,1845.5,747.0943073464693,148.59562092634533,747.0943073464692,546.4043790736547,764,497,397.8087581473094,-49.4043790736547,0
shama,S2,C1,Non-Dominant,Touchpad,Intermediate,400,50,15,0,9,1687.5,747.0943073464692,546.4043790736547,829.8033988749894,157.28869674096927,811,196,397.8087581473094,-41.77481485731948,0
shama,S2,C1,Non-Dominant,Touchpad,Intermediate,400,50,15,0,10,1881.6000001430511,829.8033988749894,157.28869674096927,668,520.7050807568878,693,472,397.8087581473094,-54.66272136646592,0
shama,S2,C1,Non-Dominant,Touchpad,Intermediate,400,50,15,0,11,1353.5999999046326,668,520.7050807568878,901.8261212717716,198.87103490452108,856,234,397.80875814730945,-55.355848010360525,0
shama,S2,C1,Non-Dominant,Touchpad,Intermediate,400,50,15,0,12,1480,901.8261212717716,198.87103490452108,606.1966011250106,465.05705045849464,652,417,397.8087581473093,-66.19500217633622,1
shama,S2,C1,Non-Dominant,Touchpad,Intermediate,400,50,15,0,13,1620.6000001430511,606.1966011250106,465.05705045849464,950.7090915285202,266.15267138484,900,277,397.8087581473092,-49.33902577410874,0
shama,S2,C1,Non-Dominant,Touchpad,Intermediate,400,50,15,0,14,1573.5999999046326,950.7090915285202,266.15267138484,572.3704798532389,389.08233816355187,623,377,397.8087581473093,-51.8851828767964,0
shama,S2,C1,Non-Dominant,Touchpad,Intermediate,400,50,15,0,15,1518.5,572.3704798532389,389.08233816355187,968,347.5,916,346,397.80875814730933,-51.55834586424873,0
