Participant Code,Session Code,Condition Code,Hand Dominance,Pointing Device,Device Experience,Amplitude,Width,Number of Targets,Task Index,Click Number,Completion Time (ms),Source X,Source Y,Target X,Target Y,Click X,Click Y,Source-Target Distance,dx,Incorrect
shama,S3,C0,Dominant,Mouse,Intermediate,400,50,15,0,1,1095.7000000476837,968,347.5,572.3704798532389,305.9176618364481,614,310,397.80875814730933,-41.82818981440358,0
shama,S3,C0,Dominant,Mouse,Intermediate,400,50,15,0,2,917.1999998092651,572.3704798532389,305.9176618364481,950.7090915285202,428.84732861516005,907,404,397.80875814730933,-49.24806312644377,0
shama,S3,C0,Dominant,Mouse,Intermediate,400,50,15,0,3,838,950.7090915285202,428.84732861516005,606.1966011250105,229.9429495415054,648,264,397.80875814730933,-53.231330619522055,0
shama,S3,C0,Dominant,Mouse,Intermediate,400,50,15,0,4,816.4000000953674,606.1966011250105,229.9429495415054,901.8261212717716,496.12896509547886,872,450,397.8087581473093,-53.03143007222266,0
shama,S3,C0,Dominant,Mouse,Intermediate,400,50,15,0,5,916.7000000476837,901.8261212717716,496.12896509547886,667.9999999999999,174.29491924311233,689,214,397.8087581473094,-44.465575393493864,0
shama,S3,C0,Dominant,Mouse,Intermediate,400,50,15,0,6,1034.2000000476837,667.9999999999999,174.29491924311233,829.8033988749895,537.7113032590307,816,483,397.8087581473094,-55.59561069544389,0
shama,S3,C0,Dominant,Mouse,Intermediate,400,50,15,0,7,946.2999999523163,829.8033988749895,537.7113032590307,747.0943073464693,148.59562092634533,755,186,397.8087581473094,-38.23068957451417,0
shama,S3,C0,Dominant,Mouse,Intermediate,400,50,15,0,8,990,747.0943073464693,148.59562092634533,747.0943073464692,546.4043790736547,752,494,397.8087581473094,-52.404379073654695,0
shama,S3,C0,Dominant,Mouse,Intermediate,400,50,15,0,9,814,747.0943073464692,546.4043790736547,829.8033988749894,157.28869674096927,800,205,397.8087581473094,-52.865171862919084,0
shama,S3,C0,Dominant,Mouse,Intermediate,400,50,15,0,10,821.5999999046326,829.8033988749894,157.28869674096927,668,520.7050807568878,690,471,397.8087581473094,-54.3560568948811,0
shama,S3,C0,Dominant,Mouse,Intermediate,400,50,15,0,11,845.2999999523163,668,520.7050807568878,901.8261212717716,198.87103490452108,859,239,397.80875814730945,-57.637577225357866,0
shama,S3,C0,Dominant,Mouse,Intermediate,400,50,15,0,12,864.6000001430511,901.8261212717716,198.87103490452108,606.1966011250106,465.05705045849464,637,429,397.8087581473093,-47.01826251786899,0
shama,S3,C0,Dominant,Mouse,Intermediate,400,50,15,0,13,1050.5,606.1966011250106,465.05705045849464,950.7090915285202,266.15267138484,900,293,397.8087581473092,-57.33902577410873,0
shama,S3,C0,Dominant,Mouse,Intermediate,400,50,15,0,14,885.7000000476837,950.7090915285202,266.15267138484,572.3704798532389,389.08233816355187,624,371,397.8087581473093,-54.690341359341275,0
shama,S3,C0,Dominant,Mouse,Intermediate,400,50,15,0,15,833.5,572.3704798532389,389.08233816355187,968,347.5,910,333,397.80875814730933,-56.166607213978864,0
