Participant Code,Session Code,Condition Code,Hand Dominance,Pointing Device,Device Experience,Amplitude,Width,Number of Targets,Task Index,Click Number,Completion Time (ms),Source X,Source Y,Target X,Target Y,Click X,Click Y,Source-Target Distance,dx,Incorrect
varun,S1,C2,Dominant,Touchpad,Intermediate,400,50,15,0,1,1064.5,968,347.5,572.3704798532389,305.9176618364481,624,307,397.80875814730933,-51.45982337828334,0
varun,S1,C2,Dominant,Touchpad,Intermediate,400,50,15,0,2,408.40000009536743,572.3704798532389,305.9176618364481,950.7090915285202,428.84732861516005,624,307,397.80875814730933,-348.37170569234223,1
varun,S1,C2,Dominant,Touchpad,Intermediate,400,50,15,0,3,1264.5,950.7090915285202,428.84732861516005,606.1966011250105,229.9429495415054,636,266,397.80875814730933,-43.8390257741088,0
varun,S1,C2,Dominant,Touchpad,Intermediate,400,50,15,0,4,898.5999999046326,606.1966011250105,229.9429495415054,901.8261212717716,496.12896509547886,872,461,397.8087581473093,-45.67099340227519,0
varun,S1,C2,Dominant,Touchpad,Intermediate,400,50,15,0,5,958.7000000476837,901.8261212717716,496.12896509547886,667.9999999999999,174.29491924311233,677,203,397.8087581473094,-28.51296542785981,1
varun,S1,C2,Dominant,Touchpad,Intermediate,400,50,15,0,6,1018.6000001430511,667.9999999999999,174.29491924311233,829.8033988749895,537.7113032590307,820,487,397.8087581473094,-50.31448229257025,0
varun,S1,C2,Dominant,Touchpad,Intermediate,400,50,15,0,7,1700.5,829.8033988749895,537.7113032590307,747.0943073464693,148.59562092634533,754,496,397.8087581473094,-341.2485341111761,1
varun,S1,C2,Dominant,Touchpad,Intermediate,400,50,15,0,8,385.69999980926514,747.0943073464693,148.59562092634533,747.0943073464692,546.4043790736547,754,496,397.8087581473094,-50.4043790736547,0
varun,S1,C2,Dominant,Touchpad,Intermediate,400,50,15,0,9,1496.4000000953674,747.0943073464692,546.4043790736547,829.8033988749894,157.28869674096927,689,478,397.8087581473094,-342.97766454401926,1
varun,S1,C2,Dominant,Touchpad,Intermediate,400,50,15,0,10,373.5,829.8033988749894,157.28869674096927,668,520.7050807568878,689,478,397.8087581473094,-47.554502048307086,0
varun,S1,C2,Dominant,Touchpad,Intermediate,400,50,15,0,11,1552.9000000953674,668,520.7050807568878,901.8261212717716,198.87103490452108,652,427,397.80875814730945,-331.40431939238994,1
varun,S1,C2,Dominant,Touchpad,Intermediate,400,50,15,0,12,374.59999990463257,901.8261212717716,198.87103490452108,606.1966011250106,465.05705045849464,652,427,397.8087581473093,-59.503696112747605,0
varun,S1,C2,Dominant,Touchpad,Intermediate,400,50,15,0,13,1314.7999999523163,606.1966011250106,465.05705045849464,950.7090915285202,266.15267138484,592,389,397.8087581473092,-372.0748501397158,1
varun,S1,C2,Dominant,Touchpad,Intermediate,400,50,15,0,14,1520.7000000476837,950.7090915285202,266.15267138484,572.3704798532389,389.08233816355187,917,333,397.8087581473093,-345.09254642006925,1
varun,S1,C2,Dominant,Touchpad,Intermediate,400,50,15,0,15,382.7000000476837,572.3704798532389,389.08233816355187,968,347.5,917,333,397.80875814730933,-49.204953946400984,0
