Participant Code,Session Code,Condition Code,Hand Dominance,Pointing Device,Device Experience,Amplitude,Width,Number of Targets,Task Index,Click Number,Completion Time (ms),Source X,Source Y,Target X,Target Y,Click X,Click Y,Source-Target Distance,dx,Incorrect
shama,S1,C0,Dominant,Touchpad,Intermediate,400,50,15,0,1,951.0999999046326,968,347.5,572.3704798532389,305.9176618364481,644,315,397.80875814730933,-72.18648899179004,1
shama,S1,C0,Dominant,Touchpad,Intermediate,400,50,15,0,2,1167.7000000476837,572.3704798532389,305.9176618364481,950.7090915285202,428.84732861516005,910,402,397.80875814730933,-47.01292756630823,0
shama,S1,C0,Dominant,Touchpad,Intermediate,400,50,15,0,3,1061.7000000476837,950.7090915285202,428.84732861516005,606.1966011250105,229.9429495415054,648,267,397.80875814730933,-54.73133061952205,0
shama,S1,C0,Dominant,Touchpad,Intermediate,400,50,15,0,4,1126,606.1966011250105,229.9429495415054,901.8261212717716,496.12896509547886,868,461,397.8087581473093,-48.64357270418475,0
shama,S1,C0,Dominant,Touchpad,Intermediate,400,50,15,0,5,1085.2999999523163,901.8261212717716,496.12896509547886,667.9999999999999,174.29491924311233,696,215,397.8087581473094,-49.389089153916075,0
shama,S1,C0,Dominant,Touchpad,Intermediate,400,50,15,0,6,1090.5,667.9999999999999,174.29491924311233,829.8033988749895,537.7113032590307,808,483,397.8087581473094,-58.84950384005027,0
shama,S1,C0,Dominant,Touchpad,Intermediate,400,50,15,0,7,1074.2000000476837,829.8033988749895,537.7113032590307,747.0943073464693,148.59562092634533,754,196,397.8087581473094,-47.804253891034506,0
shama,S1,C0,Dominant,Touchpad,Intermediate,400,50,15,0,8,1093.2999999523163,747.0943073464693,148.59562092634533,747.0943073464692,546.4043790736547,748,483,397.8087581473094,-63.40437907365467,0
shama,S1,C0,Dominant,Touchpad,Intermediate,400,50,15,0,9,1075.5,747.0943073464692,546.4043790736547,829.8033988749894,157.28869674096927,813,198,397.8087581473094,-43.315286677151555,0
shama,S1,C0,Dominant,Touchpad,Intermediate,400,50,15,0,10,1108.2000000476837,829.8033988749894,157.28869674096927,668,520.7050807568878,676,480,397.8087581473094,-40.4398347730365,0
shama,S1,C0,Dominant,Touchpad,Intermediate,400,50,15,0,11,1200.3999998569489,668,520.7050807568878,901.8261212717716,198.87103490452108,854,243,397.80875814730945,-63.812571464320015,0
shama,S1,C0,Dominant,Touchpad,Intermediate,400,50,15,0,12,1093.2999999523163,901.8261212717716,198.87103490452108,606.1966011250106,465.05705045849464,640,445,397.8087581473093,-38.541607292559455,0
shama,S1,C0,Dominant,Touchpad,Intermediate,400,50,15,0,13,1123.9000000953674,606.1966011250106,465.05705045849464,950.7090915285202,266.15267138484,910,279,397.8087581473092,-41.67877173626434,0
shama,S1,C0,Dominant,Touchpad,Intermediate,400,50,15,0,14,1031.7999999523163,950.7090915285202,266.15267138484,572.3704798532389,389.08233816355187,620,379,397.8087581473093,-48.413979339161024,0
shama,S1,C0,Dominant,Touchpad,Intermediate,400,50,15,0,15,1058.1000001430511,572.3704798532389,389.08233816355187,968,347.5,935,353,397.80875814730933,-33.39412909512511,0
